subj_idx,date,trialnum,stim,response,rt
278,2019-02-05,1.0,2.0,1,3.46
278,2019-02-05,2.0,2.0,1,1.11
278,2019-02-05,5.0,2.0,1,56.16
278,2019-02-05,12.0,1.0,0,256.03
278,2019-02-05,15.0,2.0,1,244.79
278,2019-02-05,31.0,2.0,0,475.04
278,2019-02-05,40.0,2.0,1,627.19
278,2019-02-05,45.0,2.0,0,336.96
278,2019-02-05,47.0,2.0,1,26.38
278,2019-02-06,2.0,2.0,0,41.07
278,2019-02-06,4.0,2.0,0,32.38
278,2019-02-06,11.0,1.0,0,168.71
278,2019-02-06,16.0,2.0,1,396.69
278,2019-02-06,21.0,2.0,1,105.73
278,2019-02-06,22.0,1.0,1,1.5
278,2019-02-06,25.0,1.0,0,304.12
278,2019-02-06,31.0,2.0,1,216.56
278,2019-02-07,3.0,1.0,0,54.0
278,2019-02-07,8.0,2.0,0,108.21
278,2019-02-07,25.0,1.0,1,631.79
278,2019-02-07,40.0,1.0,1,366.05
278,2019-02-07,47.0,1.0,0,975.83
278,2019-02-07,50.0,1.0,1,240.85
279,2019-02-06,2.0,2.0,1,26.44
279,2019-02-06,3.0,1.0,0,38.68
279,2019-02-06,9.0,2.0,1,163.17
279,2019-02-06,14.0,1.0,0,262.92
279,2019-02-06,21.0,1.0,1,297.66
279,2019-02-06,25.0,1.0,0,257.8
279,2019-02-06,34.0,2.0,0,219.99
279,2019-02-06,35.0,2.0,1,353.21
279,2019-02-07,1.0,1.0,1,14.19
279,2019-02-07,4.0,1.0,0,84.42
279,2019-02-07,14.0,2.0,1,327.39
279,2019-02-07,18.0,1.0,1,82.59
279,2019-02-07,24.0,2.0,1,132.4
279,2019-02-07,28.0,2.0,1,89.36
279,2019-02-07,31.0,1.0,1,52.71
279,2019-02-07,45.0,2.0,1,352.84
280,2019-02-05,1.0,2.0,0,3.2
280,2019-02-05,3.0,1.0,0,36.15
280,2019-02-05,4.0,2.0,1,82.23
280,2019-02-05,5.0,2.0,0,15.6
280,2019-02-05,6.0,1.0,1,28.68
280,2019-02-05,8.0,2.0,0,54.54
280,2019-02-05,11.0,1.0,0,60.75
280,2019-02-05,12.0,2.0,1,140.42
280,2019-02-05,16.0,1.0,1,89.76
280,2019-02-05,22.0,1.0,0,259.05
280,2019-02-05,27.0,1.0,0,108.64
280,2019-02-05,29.0,2.0,0,28.78
280,2019-02-05,32.0,1.0,1,404.51
280,2019-02-05,35.0,1.0,1,58.46
280,2019-02-05,38.0,2.0,1,59.2
280,2019-02-05,48.0,1.0,1,243.61
280,2019-02-06,1.0,1.0,0,9.54
280,2019-02-06,5.0,2.0,0,85.33
280,2019-02-06,7.0,1.0,1,160.92
280,2019-02-06,13.0,2.0,1,137.66
280,2019-02-06,14.0,2.0,1,1.76
280,2019-02-06,31.0,1.0,1,419.88
280,2019-02-06,38.0,1.0,1,170.64
280,2019-02-06,44.0,2.0,0,954.2
280,2019-02-07,2.0,1.0,1,26.65
280,2019-02-07,3.0,2.0,0,5.19
