subj_idx,date,trialnum,stim,response,rt
172,2017-11-11,1,2,1,25.99
172,2017-11-11,2,2,0,65.32
172,2017-11-11,3,1,1,53.16
172,2017-11-11,4,1,1,0.85
172,2017-11-11,5,2,0,49.3
172,2017-11-11,6,2,0,0.12
172,2017-11-11,7,2,1,111.83
172,2017-11-11,9,2,1,64.11
172,2017-11-11,10,1,0,139.4
172,2017-11-11,11,2,1,67.85
172,2017-11-11,13,1,0,83.41
172,2017-11-11,15,2,1,140.68
172,2017-11-11,16,1,0,80.68
172,2017-11-11,17,2,1,70.18
172,2017-11-11,18,1,0,43.99
172,2017-11-11,19,2,1,49.71
172,2017-11-11,21,2,1,41.81
172,2017-11-11,22,1,1,17.95
172,2017-11-11,23,1,1,7.26
172,2017-11-11,24,2,0,123.43
172,2017-11-11,25,1,1,9.22
172,2017-11-11,26,2,0,11.3
172,2017-11-11,27,2,1,1.87
172,2017-11-11,28,1,1,11.35
172,2017-11-11,29,1,1,0.69
172,2017-11-11,30,1,1,10.72
172,2017-11-11,31,1,1,1.54
172,2017-11-11,32,1,1,7.63
172,2017-11-11,33,1,1,2.06
172,2017-11-11,34,1,1,2.12
172,2017-11-11,35,2,1,25
172,2017-11-11,36,1,1,2.08
172,2017-11-11,37,2,0,187.95
172,2017-11-11,38,2,1,48.78
172,2017-11-11,39,2,0,13.06
172,2017-11-11,40,2,1,6.98
172,2017-11-11,41,1,1,2.21
172,2017-11-11,42,1,1,5.76
172,2017-11-11,43,2,0,30.86
172,2017-11-11,44,2,1,45.5
172,2017-11-11,45,1,1,6.21
172,2017-11-11,49,1,1,12.76
172,2017-11-11,52,1,1,3.43
172,2017-11-12,1,2,1,14.96
172,2017-11-12,2,2,1,6.21
172,2017-11-12,3,1,0,47.49
172,2017-11-12,4,1,1,3.78
172,2017-11-12,5,2,1,23.64
172,2017-11-12,6,2,0,29.7
172,2017-11-12,7,2,1,4.83
172,2017-11-12,8,1,0,27.73
172,2017-11-12,9,1,1,50.32
172,2017-11-12,10,2,0,25.28
172,2017-11-12,11,2,1,55.63
172,2017-11-12,13,1,1,53.21
172,2017-11-12,14,2,1,11.19
172,2017-11-12,15,1,0,15.38
172,2017-11-12,16,1,1,14.45
172,2017-11-12,17,2,0,17.29
172,2017-11-12,18,1,1,3.14
172,2017-11-12,19,2,0,14.41
172,2017-11-12,20,1,1,3.43
172,2017-11-12,21,2,1,3.43
172,2017-11-12,22,2,1,0.4
172,2017-11-12,23,1,1,0.63
172,2017-11-12,24,1,1,3.43
172,2017-11-12,25,2,0,36.91
172,2017-11-12,26,1,0,16.76
172,2017-11-12,27,1,1,88.43
172,2017-11-12,28,1,0,39.22
172,2017-11-12,29,2,1,4.65
172,2017-11-12,32,2,1,88.02
172,2017-11-12,33,1,1,4.37
172,2017-11-12,34,1,1,12.17
172,2017-11-12,35,2,1,10.66
172,2017-11-12,36,1,1,1.4
172,2017-11-12,37,2,0,26.07
172,2017-11-12,38,1,1,3.73
172,2017-11-12,39,2,0,16.74
172,2017-11-12,40,1,1,4.58
172,2017-11-12,41,2,0,18.23
172,2017-11-12,42,2,1,45.37
172,2017-11-12,43,1,1,0.46
172,2017-11-12,44,2,0,14.68
172,2017-11-12,45,2,1,23.67
172,2017-11-12,47,2,0,58.33
172,2017-11-12,48,1,1,4.71
172,2017-11-12,49,1,1,28.67
172,2017-11-12,52,2,0,24.89
172,2017-11-13,1,2,1,7.19
172,2017-11-13,6,2,1,177.12
172,2017-11-13,11,2,1,192.35
172,2017-11-13,16,2,1,182.51
172,2017-11-13,17,2,1,19.55
